WD11CD,express_coverage,superstore_coverage,extra_coverage,total_coverage,overlap_index,unique_types
E05000001,100.0,100.0,100.0,100.0,200.0,3.0
E05000003,100.0,100.0,100.0,100.0,200.0,3.0
E05000010,100.0,100.0,100.0,100.0,200.0,3.0
E05000015,100.0,100.0,100.0,100.0,200.0,3.0000000000000004
E05000023,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E05000025,100.0,100.0,100.0,100.0,200.0,3.0
E05000026,100.0,100.0,100.0,100.0,200.0,3.0
E05000027,100.0,100.0,100.0,100.0,200.0,3.0
E05000028,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E05000029,100.0,100.0,100.0,100.0,200.0,3.0
E05000030,100.0,100.0,100.0,100.0,200.0,3.0000000000000004
E05000031,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0000000000000004
E05000032,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E05000033,100.0,100.0,100.0,100.0,200.0,2.9999999999999996
E05000034,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0000000000000004
E05000035,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E05000036,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0000000000000004
E05000037,100.0,100.0,100.0,100.0,200.0,3.0
E05000038,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E05000039,100.0,100.0,100.0,100.0,200.0,3.0
E05000040,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0000000000000004
E05000041,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E05000042,100.0,100.0,100.0,100.0,200.0,2.999999999999999
E05000043,99.99999999999997,99.99999999999997,99.99999999999997,99.99999999999997,199.99999999999994,2.9999999999999996
E05000044,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000045,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0000000000000004
E05000046,100.0,100.0,100.0,100.0,200.0,3.0
