borough_code,borough_name,express_coverage,superstore_coverage,extra_coverage,total_coverage,overlap_index,unique_types
E09000001,City of London,100.0,100.0,100.0,100.0,200.0,3.0
E09000002,Barking and Dagenham,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,200.00000000000006,3.0
E09000003,Barnet,99.99999999999999,99.99999999999999,95.77400604670298,99.99999999999999,195.774006046703,2.995260663507109
E09000004,Bexley,100.0,76.07140245708315,95.591251594434,100.0,171.66265405151717,2.889655172413793
E09000005,Brent,100.0,100.0,100.0,100.0,200.0,3.0
E09000006,Bromley,83.08774275542027,39.74996276225369,59.729593353956425,83.08774275542027,99.4795561162101,2.6243654822335025
E09000007,Camden,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E09000008,Croydon,92.97449914573146,68.13044241752826,69.54026365138907,92.98202656910371,137.6631786455451,2.75
E09000009,Ealing,100.0,100.0,99.79031232226893,100.0,199.79031232226896,3.0
E09000010,Enfield,95.48818268231348,94.60083747455052,53.31158130338919,95.70154306251231,147.69905839774088,2.7814207650273226
E09000011,Greenwich,100.0,100.0,100.0,100.0,200.0,3.0
E09000012,Hackney,100.0,100.0,100.0,100.0,200.0,3.0
E09000013,Hammersmith and Fulham,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E09000014,Haringey,100.0,100.0,100.0,100.0,200.0,3.0
E09000015,Harrow,99.99999999999997,99.99999999999997,86.9280997390304,99.99999999999997,186.92809973903036,2.9635036496350367
E09000016,Havering,92.68495911093196,27.959028793364105,50.45066048056106,92.68495911093196,78.40968927392517,2.3866666666666667
E09000017,Hillingdon,90.47966087860998,87.79352816561668,22.130769252695654,90.84506195287244,109.55889634404987,2.360248447204969
E09000018,Hounslow,98.76267839608549,92.09530913066415,99.09815422969082,99.30351103343601,190.65263072300445,3.0
E09000019,Islington,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E09000020,Kensington and Chelsea,99.99999999999996,99.99999999999996,99.99999999999996,99.99999999999996,199.99999999999991,3.0
E09000021,Kingston upon Thames,99.96887717003729,99.95473042914516,65.33362022023476,99.96887717003729,165.2883506493799,2.826530612244898
E09000022,Lambeth,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E09000023,Lewisham,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E09000024,Merton,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E09000025,Newham,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E09000026,Redbridge,100.0,99.97841471249805,99.04552556827325,100.0,199.02394028077128,3.0
E09000027,Richmond upon Thames,100.00000000000001,100.00000000000001,99.55530556464282,100.00000000000001,199.55530556464282,3.0
E09000028,Southwark,100.0,100.0,100.0,100.0,200.0,3.0
E09000029,Sutton,100.00000000000001,100.00000000000001,80.78481196043951,100.00000000000001,180.78481196043955,2.958677685950413
E09000030,Tower Hamlets,100.0,100.0,100.0,100.0,200.0,3.0
E09000031,Waltham Forest,100.0,100.0,100.0,100.0,200.0,3.0
E09000032,Wandsworth,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E09000033,Westminster,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
