"WD11CD","express_coverage","extra_coverage","superstore_coverage","total_coverage","overlap_index","unique_types"
"E05000001",100.000000000007,0,0,100.000000000007,0,1
"E05000003",99.9999999999589,0,0,99.9999999999589,0,1
"E05000010",100.000000000004,0,0,100.000000000004,0,1
"E05000015",99.9999999999288,0,0,99.9999999999288,0,1
"E05000023",100.000000000035,0,0,100.000000000035,0,1
"E05000025",100.000000000002,0,0,100.000000000002,0,1
"E05000026",99.9999999999974,0,94.120587902985,99.9999999999974,94.120587902985,2
"E05000027",100.000000000002,0,0,100.000000000002,0,1
"E05000028",64.9893934050819,27.8742382381822,0,64.9893934050819,27.8742382381822,2
"E05000029",36.4618339091311,0,4.54121299165438,41.0030469007855,0,2
"E05000030",58.9433345930739,15.0679807119125,0,73.0417240656238,0.969591239362671,2
"E05000031",99.2409326369971,0,3.33757913892163,99.2409326369971,3.33757913892163,2
"E05000032",100.000000000006,0.500036885723191,70.5038041907118,100.000000000006,71.003841076435,3
"E05000033",69.1290681720221,0,0,69.1290681720221,0,1
"E05000034",82.5735292714102,0,0,82.5735292714102,0,1
"E05000035",64.3195620268469,0,2.86266845185606,64.3195620268469,2.86266845185607,2
"E05000036",28.7273884897737,0,0,28.7273884897737,0,1
"E05000037",67.5734567447621,0,0,67.5734567447621,0,1
"E05000038",28.250165239575,0,0,28.250165239575,0,1
"E05000039",34.5779786983991,0.569843537988274,0.074366945464007,34.8204369377017,0.401752244149698,3
"E05000040",95.8026963609447,14.2053070528655,0,95.8026963609447,14.2053070528655,2
"E05000041",94.2205595208538,0,0,94.2205595208538,0,1
"E05000042",88.3037372442437,0.215693841256335,0,88.3037372442437,0.215693841256339,2
"E05000043",95.0155231587985,0.356276730283055,0,95.0155231587985,0.356276730283057,2
"E05000044",78.4056063691546,0,0,78.4056063691546,0,1
"E05000045",98.5788705151744,0,28.4854585356517,98.5788705151744,28.4854585356517,2
"E05000046",98.6126424391711,0,0,98.6126424391711,0,1
"E05000047",82.9191628954074,84.149249972387,0,100,67.068412867794,2
"E05000048",93.3494350598807,0,0,93.3494350598807,0,1
"E05000049",69.7736783566075,21.7517639031613,5.90419901936866,87.2921358415375,10.1375054375999,3
"E05000050",84.8898855742995,0,0,84.8898855742995,0,1
"E05000051",16.6036302708691,0,60.9790363920516,77.5826666629207,0,2
"E05000052",52.5251442077231,0,0.888928387474923,53.4139688574411,0.000103737756973032,2
"E05000053",86.9622474743043,0,86.426889481923,97.5690912132549,75.8200457429724,2
"E05000054",61.3749227853929,0,0,61.3749227853929,0,1
"E05000055",99.3296610786242,0,7.6293157222207,99.3296610786242,7.6293157222207,2
"E05000056",42.7353795089475,0.0023032746436532,0,42.7376827835912,0,2
