"borough_code","express_coverage","extra_coverage","superstore_coverage","total_coverage","overlap_index","unique_types"
"E09000001",99.9999999999971,0,0,99.9999999999971,0,1
"E09000002",61.0359183588975,3.0789702090524,6.08176977115348,62.8578666228007,7.33879171630267,3
"E09000003",62.3742343910197,4.44257195271087,11.2629421485618,68.2509123256405,9.82883616665181,3
"E09000004",41.8528232742817,0,11.7606900291549,42.5750549155055,11.0384583879311,2
"E09000005",78.4617971040487,11.3483178612568,9.06409917194794,82.0413143162567,16.8328998209967,3
"E09000006",25.6803222803906,3.26775723246669,6.93317533910929,30.5943882815953,5.28686657037125,3
"E09000007",96.943555785027,0,0,96.943555785027,0,1
"E09000008",54.4029185181632,5.58449446925385,9.53176469195766,56.243170092183,13.2760075871918,3
"E09000009",74.292317764717,5.87493956090397,13.7821660667727,83.2089063825034,10.7405170098903,3
"E09000010",38.3633588814511,9.58218026079748,6.03913384647342,47.5076667498153,6.47700623890666,3
"E09000011",62.8261463564268,8.52233933170697,1.90819724732328,63.1390402117817,10.1176427236753,3
"E09000012",94.220973182526,0,31.3551133043657,97.137271130811,28.4388153560806,2
"E09000013",97.4137712049783,0,50.2193908760937,99.8649130895067,47.7682489915653,2
"E09000014",87.4884376073328,7.4596484482355,21.0705844098906,90.4161068447813,25.6025636206775,3
"E09000015",74.0666310044972,0,15.2481017193163,76.5607404309578,12.7539922928557,2
"E09000016",28.9696538197931,12.6357948519152,8.51965714212985,39.7534507186376,10.3716550952006,3
"E09000017",43.5186101689164,4.579848407219,5.81456373723443,45.6585155711865,8.2545067421834,3
"E09000018",69.7536511754624,16.2125189050826,16.1971946236303,79.3041335820508,22.8592311221244,3
"E09000019",100.000000000002,0,16.89104447059,100.000000000002,16.89104447059,2
"E09000020",99.268874887324,0,24.5690273163111,99.268874887324,24.5690273163111,2
"E09000021",64.4140885343212,4.84078281031075,0,64.4140885343212,4.84078281031076,2
"E09000022",94.0997782317977,13.4496062365303,37.3797970678402,99.3601744906574,45.5690070455107,3
"E09000023",88.7117172043688,3.25214402464103,25.0499576221452,92.9628661394188,24.0509527117362,3
"E09000024",52.6644850173348,9.92529641641799,0,58.5943603881543,3.99542104559854,2
"E09000025",78.7890488438898,13.4184393982022,14.0011505655886,88.7451610220009,17.4634777856797,3
"E09000026",52.9366326734525,7.72903872469684,21.528354146424,65.6599962986488,16.5340292459245,3
"E09000027",61.9684621834047,3.89119131515346,18.9434927534708,69.5505745808369,15.2525716711921,3
"E09000028",94.5892020054774,11.2165778556696,20.4508440159485,94.6573092584199,31.5993146186755,3
"E09000029",50.7581677489344,11.1485711658279,0.609713128310131,51.7737293411023,10.7427227019702,3
"E09000030",99.999999999999,0,16.4395077461617,99.999999999999,16.4395077461618,2
"E09000031",88.8039517323962,2.01515657993054,31.645729937483,91.9919442094634,30.4728940403463,3
"E09000032",90.5334923002763,3.47071450965925,8.49941425654835,91.9437971879913,10.5598238784926,3
"E09000033",98.3502937345379,0,1.51503096264534,98.3502937345379,1.51503096264534,2
