"MSOA11CD","express_coverage","extra_coverage","superstore_coverage","total_coverage","overlap_index","unique_types","cluster","imd_score","income","employment","education","health","crime","barriers","living_environment"
"E02000001",99.9999999999971,0,0,99.9999999999971,0,1,"1",14.2679424256019,0.0676328697472708,0.0535307312696276,4.68412636458801,-0.781975773889636,-1.20258157619261,30.8655017197547,47.4559962614027
"E02000002",13.8850179842542,0,7.10479681595804,20.9898148002123,3.5527136788005e-15,2,"4",38.4307181189863,0.270228892803903,0.170816506301667,33.7051532728012,0.638012332294349,0.909129556850522,40.1963607534896,18.1442587071419
"E02000003",86.5661465831543,0.156222643614618,0,86.5661465831543,0.156222643614612,2,"1",25.7169651119403,0.173323973880597,0.115780410447761,17.7068053171642,0.0411000932835821,0.97076875,29.7064368470149,28.8959457089552
"E02000004",43.0080256101406,20.9163107215062,0,62.5784179884424,1.34591834320432,2,"4",24.6090231028152,0.177581854345165,0.138371328029376,23.068394124847,0.128556456548348,0.16993099755202,31.1992818237454,16.3982311811506
"E02000005",86.5140667061771,5.67662887999318,0,86.5140667061771,5.67662887999317,2,"1",32.3816574705182,0.22432035053554,0.149176890619929,27.3312466731581,0.300409390890404,0.989791301525479,32.3469476360489,29.6790921778643
"E02000007",79.8477408887215,0,0,79.8477408887215,0,1,"1",40.526203125,0.286007864238411,0.186832264072848,33.0974535389073,0.614326262417219,0.858078745860927,41.4530015521523,22.064620343543
"E02000008",74.4136625464027,5.53755895857263,0,74.4136625464027,5.53755895857263,2,"1",35.7203473375672,0.25601384139391,0.17093779514737,29.3556529066927,0.560640042338381,0.842790913531998,34.8290365575639,26.7317117733268
"E02000009",69.8104828254247,45.1245137583787,0,69.8104828254247,45.1245137583787,2,"2",36.236058073115,0.263003808073115,0.162584063214014,31.0161530845392,0.489845963442498,0.906681645087586,34.4396075780655,30.8296779322163
"E02000010",99.5728847079285,0,0,99.5728847079285,0,1,"1",37.5830287097129,0.276688923110769,0.179814541854581,30.2999979100209,0.614333736662633,0.800885821141789,37.4981511384886,23.9054338356616
"E02000011",99.6726529640524,0,0,99.6726529640524,0,1,"1",25.8796911699453,0.174054577725189,0.122567223783464,22.4304858748706,0.150911403638515,0.684810087265197,30.2663137109895,29.0512258541636
"E02000012",54.9402348885216,0,0,54.9402348885216,0,1,"4",20.0784633449991,0.142175538773255,0.0965723890219193,16.9236913796279,-0.17966476330816,0.464876772886351,31.9970814146252,19.4223846933137
"E02000013",13.2061632379803,0,0,13.2061632379803,0,1,"4",38.321097697039,0.253593048204835,0.175693606064941,34.0814674581605,0.570054355600057,1.1220333285653,36.8240072950937,26.7944954942068
"E02000014",100.000000000021,0,0,100.000000000021,0,1,"1",39.213232584737,0.255767519234768,0.178736119775421,33.1510202744853,0.524797775005199,1.3655010397172,35.5954092326887,27.7864024745269
"E02000015",91.2988317848943,0,0,91.2988317848943,0,1,"1",43.3747221223022,0.309558581706064,0.206375642343268,34.2606207605344,0.584443088386434,1.07164401336074,40.1626989979445,24.8357534686536
"E02000016",99.9999999999997,0,99.9999999999997,99.9999999999997,99.9999999999997,2,"3",35.9009390627135,0.244809946714032,0.126310151660063,14.229557863096,0.101220658559913,1.06974258778522,52.6959647492827,38.9318924716491
"E02000017",99.9999999999844,0,43.8195861286295,99.9999999999844,43.8195861286295,2,"3",28.532576996518,0.180920700887341,0.108929911265865,17.0709296866225,-0.0119056497809727,1.10287161630911,40.1537660339212,31.3220233629114
"E02000018",75.678777492638,0,0,75.678777492638,0,1,"1",38.733456306386,0.264962055545728,0.174007518131965,33.7749250840262,0.453339288873165,1.0237375729701,38.1386101185211,29.8833016982133
"E02000019",22.8955306008558,0,0,22.8955306008558,0,1,"4",34.8707743001984,0.24006535155389,0.154501102049813,27.7988048269782,0.240338549702447,1.1475153184924,39.1474927264712,22.9691448093454
"E02000020",45.6570969527735,1.11390428157356,4.10152413599545,46.1310433132313,4.74148205711118,3,"4",33.4297947194159,0.230601748875117,0.150187961626624,25.1503603022328,0.203910009338654,0.975754393412004,39.9139847185669,26.8438931997623
"E02000021",21.6926128835517,0,0,21.6926128835517,0,1,"4",33.1184257924248,0.228697677079757,0.147554296830301,26.4711093946676,0.401860052637602,0.818985124156082,35.8012526604875,31.1747867032841
"E02000022",99.9999999999989,0.725223335268612,84.3021457214797,99.9999999999989,85.0273690567483,3,"3",41.4125439972322,0.296267789182332,0.17969484488525,24.9811852150848,0.561377695767501,0.682569830469381,52.2297508937839,26.759263752739
"E02000023",75.2949537612172,0,0,75.2949537612172,0,1,"1",40.8964445762488,0.298404375906155,0.174379201265322,28.9406624489258,0.528723342559641,0.954014630288652,44.0958608145512,27.5812873335969
"E02000024",71.7550619819386,0,0,71.7550619819386,0,1,"1",10.8397136051306,0.0759249656436097,0.0640424186898763,2.12911607879065,-1.02292414109024,0.471551076500229,23.5589186440678,21.2263456710948
"E02000025",76.1288493518053,0,0,76.1288493518053,0,1,"1",16.7497111638955,0.12634703087886,0.107543467933492,6.89816793349169,-0.640947149643706,0.293929097387173,28.3162946555819,16.8936777909739
"E02000026",95.9698337023637,0,0,95.9698337023637,0,1,"1",11.4357543806186,0.104053938747524,0.0767492000609477,4.65689516989182,-1.00088557062319,0.177185281121438,23.3863815328356,14.4262821880238
"E02000027",79.5326418201967,0,0,79.5326418201967,0,1,"1",25.5428555257671,0.200897229669348,0.142567570251216,17.4770425975573,-0.0171144871412968,0.512479594876378,30.448964353093,14.956727931685
"E02000028",100.000000000002,0,0,100.000000000002,0,1,"1",14.465554941682,0.118079803560467,0.0804499693063229,5.82907059545734,-0.996415131982812,0.333778238182934,27.5955805709024,22.7000793431553
"E02000029",100.000000000001,0,0,100.000000000001,0,1,"1",17.5613046202036,0.153617742476787,0.105536189730395,8.17771238393556,-0.614462020360219,0.234061080657792,23.6019391430809,25.586034567625
"E02000030",11.0139649453633,0.00126866706647914,0,11.0152336124297,0,2,"4",13.5761750605979,0.0904663793877368,0.0691693150193016,6.26627695484334,-0.92557419876111,0.336979710925577,31.7073851333154,13.4746152257833
"E02000031",91.6615576977707,0,0,91.6615576977707,0,1,"1",11.787332718894,0.0952411059907834,0.0649131797235023,3.05338101382488,-0.586233732718894,0.242699907834101,25.0808105069124,16.6932742857143
"E02000032",99.9999999999938,0,0,99.9999999999938,0,1,"1",9.38435144598625,0.0790348852288938,0.0605284658280379,3.50684372973674,-1.20196187264946,0.258276228764103,20.6576406432369,16.2582601478407
"E02000033",91.0728349349491,0.638089268221243,0,91.0728349349491,0.63808926822125,2,"1",18.8941797111186,0.15178882543948,0.108334788937409,11.6002131900123,-0.525557384391446,0.399805732840667,27.0987568021498,17.2288279028104
"E02000034",100.000000000006,0.880946843553606,0,100.000000000006,0.880946843553602,2,"1",15.449288733978,0.128897796267146,0.0849246683157185,6.47676433550708,-0.710021025410389,0.16795187767034,27.1548042500562,25.2935202383629
"E02000035",80.686293080737,0,0,80.686293080737,0,1,"1",15.8071724017263,0.128170068820716,0.0858527936544967,4.4897030211128,-0.475868540767526,0.0082695672460049,31.8675891753179,20.1987165519655
"E02000036",99.9999999999781,0,0,99.9999999999781,0,1,"1",18.2918810702806,0.148084875336635,0.0964999565632873,10.5234810181565,-0.550491095473895,0.264356876031622,31.9793635652854,19.2931155416558
