lsoa_code,imd_score,income,employment,education,health,crime,barriers,living_environment
E01014904,23.407,0.157,0.131,34.218,-0.043,0.453,24.54,16.633
E01014905,11.559,0.063,0.056,23.316,-0.643,0.178,20.723,20.565
E01014906,23.675,0.204,0.139,22.103,0.154,-0.238,25.515,20.344
E01014907,13.877,0.1,0.071,18.087,-0.185,0.496,13.415,19.003
E01014908,6.456,0.052,0.063,5.245,-1.333,0.101,14.653,11.385
E01014909,12.133,0.081,0.072,13.347,-0.536,0.536,11.601,22.624
E01014910,16.854,0.145,0.09,20.941,0.063,-0.293,14.466,25.067
E01014867,10.118,0.099,0.086,16.811,-0.381,-0.937,11.364,4.35
E01014868,10.713,0.065,0.07,19.76,-1.192,-0.395,23.951,18.157
E01014994,17.611,0.112,0.084,24.789,-0.627,-0.718,35.016,27.47
E01014995,4.735,0.045,0.056,8.054,-0.864,-0.436,9.709,6.69
E01033338,9.539,0.065,0.047,10.867,-1.352,-0.1,33.684,8.047
E01033339,19.686,0.139,0.099,25.785,-0.358,0.362,31.617,11.773
E01014901,2.048,0.025,0.042,4.499,-1.672,-1.355,4.361,10.366
E01014902,1.963,0.031,0.039,4.105,-1.537,-1.531,6.123,9.41
E01014903,4.158,0.041,0.046,7.076,-1.051,-0.052,8.655,5.112
E01014965,5.736,0.052,0.068,17.94,-1.499,-1.258,5.724,5.977
E01014964,1.739,0.028,0.027,3.352,-1.563,-1.322,14.648,4.615
E01014966,3.155,0.032,0.042,10.039,-1.24,-0.821,13.293,0.865
E01014967,1.991,0.024,0.033,5.699,-1.745,-0.436,7.775,2.409
E01014969,3.7,0.029,0.055,8.516,-1.128,-0.766,13.24,2.679
E01033334,2.104,0.037,0.027,4.375,-1.334,-0.693,11.619,2.685
E01033336,2.575,0.03,0.035,9.356,-1.258,-0.697,8.778,1.987
E01014897,2.758,0.035,0.034,3.434,-1.695,-0.564,15.766,6.242
E01014898,7.34,0.071,0.055,8.583,-0.538,0.022,9.593,10.488
E01014899,9.022,0.089,0.083,9.494,-0.888,-0.03,8.987,7.896
