,PC1,PC2
f_beer,0.02468009028595037,0.3798848805838018
f_dairy,-0.19345705849042988,-0.2350815252070079
f_eggs,-0.3237800045065917,-0.26224524688324546
f_fats_oils,-0.2683037584042774,-0.428538009754175
f_fish,-0.3444535724038773,0.03807461730206473
f_fruit_veg,-0.34974546267957807,0.215943341148717
f_grains,0.34592670734349024,-0.12991074449537668
f_meat_red,-0.23905154538802437,0.013084572010858603
f_poultry,-0.20166534116353216,0.05428970416247652
f_readymade,0.3454700047485515,0.3098858553847919
f_soft_drinks,0.23290365110894626,-0.22494248934105285
f_sweets,0.35813078026529294,-0.21602774061234886
f_wine,-0.15761846553633424,0.5353819426291796
